"sequence_number","delta","gyro_x","gyro_y","gyro_z","accel_x","accel_y","accel_z","control_x","control_speed"
"151","0.11912","-0.00146484","-0.00378418","0.0679321","-0.0171509","-0.0980835","-0.979065","-0.998047","1"
"152","0.100038","-0.000793457","-0.00335693","0.0686646","-0.0115967","-0.0778809","-0.973572","-0.998047","1"
"153","0.079665","0.00146484","-0.00140381","0.0692749","-0.0353394","-0.0789795","-1.00879","-0.998047","1"
"154","0.083749","0.00164795","-0.00195312","0.0687866","-0.0254517","-0.0999756","-1.04633","-0.998047","1"
"155","0.082469","0.0022583","-0.00183105","0.0671387","-0.0294189","-0.0459595","-1.05786","-0.998047","1"
"156","0.089988","0.00250244","-0.000854492","0.0643311","-0.0272827","-0.0710449","-1.09662","-0.998047","1"
"157","0.082554","0.00140381","-0.000183105","0.0602417","-0.000915527","-0.0958252","-1.065","-0.726562","1"
"158","0.11106","0","0.00012207","0.055542","0.0101929","-0.0774536","-1.00848","0","1"
"159","0.09895","-0.000183105","0.00140381","0.0441895","-0.0148926","-0.0423584","-0.983276","0","1"
"160","0.074992","-0.00115967","0.00012207","0.0317993","-0.00927734","-0.074585","-0.984802","0","1"
"161","0.075015","-0.0022583","-0.0010376","0.0200195","-0.0212402","-0.0668945","-0.986694","0","1"
"162","0.074973","-0.0032959","-0.00268555","0.0102539","-0.0800781","-0.0395508","-0.958313","0","1"
"163","0.089746","-0.00500488","-0.00360107","0.00195312","-0.0764771","-0.0549316","-1.00421","0","1"
"164","0.085253","-0.00457764","-0.00415039","-0.000427246","-0.0817871","-0.0974731","-0.968079","0","1"
"165","0.125094","-0.00366211","-0.00396729","-0.000854492","-0.102417","-0.0578003","-1.00226","0","1"
"166","0.081147","-0.00439453","-0.00317383","-0.00158691","-0.0928345","-0.0765381","-0.944824","0","1"
"167","0.075041","-0.00250244","-0.00250244","-0.00189209","-0.0493164","0.0239868","-0.989441","0","1"
"168","0.114667","-0.00274658","-0.000183105","-0.00109863","-0.039917","0.0380859","-0.983643","0","1"
"169","0.117654","-0.00262451","-0.003479","0.000488281","0.00274658","0.0623169","-1.04962","0","1"
